zone,framework,seed,train_start,val_mape,test_mape,test_mae,test_rmse,test_mape_seedavg
BE,e2_prod,1,2024-01,26.12,34.67,85.11,116.45,41.31333333333333
BE,e3_cons,2,2024-01,29.17,32.44,49.75,63.89,38.78
BE,single_cons,1,2024-01,21.53,31.13,40.8,50.07,34.05
BE,single_prod,1,2024-01,21.83,29.79,78.13,105.81,33.25666666666667
FI,e2_prod,0,2024-01,20.52,22.9,13.47,17.76,21.099999999999998
FI,e3_cons,2,2024-01,20.32,15.0,7.59,9.74,28.643333333333334
FI,single_cons,1,2024-01,20.72,13.81,7.11,9.35,15.089999999999998
FI,single_prod,2,2024-01,22.52,18.65,11.36,15.14,16.16
SG,e2_prod,1,2024-01,0.67,0.96,4.39,6.97,1.0366666666666666
SG,e3_cons,1,2024-01,0.65,1.0,4.6,7.26,1.0533333333333335
SG,single_cons,1,2024-01,0.56,0.84,3.89,6.56,0.89
SG,single_prod,1,2024-01,0.47,0.67,3.09,5.31,0.7833333333333333
US-MIDA-PJM,e2_prod,1,2024-01,5.11,5.7,17.89,22.81,6.866666666666667
US-MIDA-PJM,e3_cons,0,2024-01,7.79,8.61,31.99,39.74,9.116666666666667
US-MIDA-PJM,single_cons,1,2024-01,5.12,8.6,30.93,37.89,7.593333333333334
US-MIDA-PJM,single_prod,1,2024-01,5.08,6.06,19.08,23.39,6.616666666666667
US-NY-NYIS,e2_prod,0,2024-01,7.2,9.01,22.13,26.45,7.743333333333333
US-NY-NYIS,e3_cons,0,2024-01,6.88,7.53,20.65,27.04,9.133333333333335
US-NY-NYIS,single_cons,1,2024-01,7.23,8.39,21.79,27.25,7.93
US-NY-NYIS,single_prod,2,2024-01,7.06,7.33,17.92,22.99,7.1866666666666665
