zone,framework,seed,train_start,val_mape,test_mape,test_mae,test_rmse
SG,single_prod,0,2024-01,0.59,0.85,3.91,6.21
SG,single_prod,1,2024-01,0.47,0.67,3.09,5.31
SG,single_prod,2,2024-01,0.58,0.83,3.8,6.37
SG,single_cons,0,2024-01,0.6,0.95,4.36,6.97
SG,single_cons,1,2024-01,0.56,0.84,3.89,6.56
SG,single_cons,2,2024-01,0.59,0.88,4.06,6.61
SG,e2_prod,0,2024-01,0.68,1.02,4.67,7.47
SG,e2_prod,1,2024-01,0.67,0.96,4.39,6.97
SG,e2_prod,2,2024-01,0.8,1.13,5.17,8.33
SG,e3_cons,0,2024-01,0.89,1.19,5.47,8.76
SG,e3_cons,1,2024-01,0.65,1.0,4.6,7.26
SG,e3_cons,2,2024-01,0.75,0.97,4.48,7.23
US-NY-NYIS,single_prod,0,2024-01,7.47,6.85,17.59,22.85
US-NY-NYIS,single_prod,1,2024-01,8.17,7.38,17.87,22.33
US-NY-NYIS,single_prod,2,2024-01,7.06,7.33,17.92,22.99
US-NY-NYIS,single_cons,0,2024-01,8.59,8.44,22.96,28.06
US-NY-NYIS,single_cons,1,2024-01,7.23,8.39,21.79,27.25
US-NY-NYIS,single_cons,2,2024-01,7.27,6.96,18.48,23.48
US-NY-NYIS,e2_prod,0,2024-01,7.2,9.01,22.13,26.45
US-NY-NYIS,e2_prod,1,2024-01,7.71,7.02,17.67,22.92
US-NY-NYIS,e2_prod,2,2024-01,8.01,7.2,17.7,22.34
US-NY-NYIS,e3_cons,0,2024-01,6.88,7.53,20.65,27.04
US-NY-NYIS,e3_cons,1,2024-01,7.5,9.88,27.11,35.18
US-NY-NYIS,e3_cons,2,2024-01,7.04,9.99,27.69,35.46
US-MIDA-PJM,single_prod,0,2024-01,5.78,7.45,23.07,29.13
US-MIDA-PJM,single_prod,1,2024-01,5.08,6.06,19.08,23.39
US-MIDA-PJM,single_prod,2,2024-01,5.18,6.34,19.65,24.79
US-MIDA-PJM,single_cons,0,2024-01,5.48,6.66,23.94,29.93
US-MIDA-PJM,single_cons,1,2024-01,5.12,8.6,30.93,37.89
US-MIDA-PJM,single_cons,2,2024-01,5.4,7.52,26.87,33.03
US-MIDA-PJM,e2_prod,0,2024-01,5.24,8.01,24.91,30.84
US-MIDA-PJM,e2_prod,1,2024-01,5.11,5.7,17.89,22.81
US-MIDA-PJM,e2_prod,2,2024-01,6.11,6.89,21.9,27.36
US-MIDA-PJM,e3_cons,0,2024-01,7.79,8.61,31.99,39.74
US-MIDA-PJM,e3_cons,1,2024-01,7.83,9.3,35.68,45.55
US-MIDA-PJM,e3_cons,2,2024-01,8.61,9.44,35.89,45.55
FI,single_prod,0,2024-01,22.6,14.53,9.03,11.45
FI,single_prod,1,2024-01,25.05,15.3,9.34,12.04
FI,single_prod,2,2024-01,22.52,18.65,11.36,15.14
FI,single_cons,0,2024-01,21.01,14.19,6.9,8.59
FI,single_cons,1,2024-01,20.72,13.81,7.11,9.35
FI,single_cons,2,2024-01,23.84,17.27,8.94,13.64
FI,e2_prod,0,2024-01,20.52,22.9,13.47,17.76
FI,e2_prod,1,2024-01,21.57,15.56,9.91,12.83
FI,e2_prod,2,2024-01,31.14,24.84,13.97,17.3
FI,e3_cons,0,2024-01,28.27,44.31,21.33,24.18
FI,e3_cons,1,2024-01,23.2,26.62,12.86,16.39
FI,e3_cons,2,2024-01,20.32,15.0,7.59,9.74
BE,single_prod,0,2024-01,24.4,36.65,75.44,93.53
BE,single_prod,1,2024-01,21.83,29.79,78.13,105.81
BE,single_prod,2,2024-01,22.86,33.33,76.12,97.61
BE,single_cons,0,2024-01,22.52,36.62,50.23,61.01
BE,single_cons,1,2024-01,21.53,31.13,40.8,50.07
BE,single_cons,2,2024-01,22.88,34.4,46.37,56.52
BE,e2_prod,0,2024-01,46.54,48.26,103.49,128.54
BE,e2_prod,1,2024-01,26.12,34.67,85.11,116.45
BE,e2_prod,2,2024-01,29.29,41.01,98.62,129.1
BE,e3_cons,0,2024-01,32.4,37.25,60.05,77.48
BE,e3_cons,1,2024-01,30.66,46.65,58.18,71.02
BE,e3_cons,2,2024-01,29.17,32.44,49.75,63.89
