zone,framework,window,best_seed,val_mape,test_mape,test_mae,test_rmse
SG,single_prod,full,2,0.48,0.68,3.15,5.29
US-NY-NYIS,single_prod,full,1,6.23,6.37,15.51,19.36
US-MIDA-PJM,single_prod,full,1,5.42,6.31,19.72,25.48
FI,single_prod,2024,2,22.52,18.65,11.36,15.14
BE,single_prod,2024,1,21.83,29.79,78.13,105.81
SG,single_cons,full,2,0.55,0.71,3.31,5.45
US-NY-NYIS,single_cons,full,2,6.03,5.98,16.46,20.46
US-MIDA-PJM,single_cons,full,1,5.59,5.93,21.54,26.52
FI,single_cons,2024,1,20.72,13.81,7.11,9.35
BE,single_cons,2024,1,21.53,31.13,40.8,50.07
SG,e2_prod,full,0,0.56,0.72,3.33,5.34
US-NY-NYIS,e2_prod,full,1,6.26,8.9,21.23,28.53
US-MIDA-PJM,e2_prod,full,2,5.19,6.04,19.93,24.55
FI,e2_prod,2024,0,20.52,22.90,13.47,17.76
BE,e2_prod,2024,1,26.12,34.67,85.11,116.45
SG,e3_cons,full,1,0.59,0.9,4.17,6.54
US-NY-NYIS,e3_cons,full,1,6.11,7.03,19.22,25.45
US-MIDA-PJM,e3_cons,full,1,6.51,8.3,31.69,40.25
FI,e3_cons,2024,2,20.32,15.00,7.59,9.74
BE,e3_cons,2024,2,29.17,32.44,49.75,63.89
